group,XX + 18 XX
ext,XXX TRANS 1,http://sv1.maincasa.cf:80/3198542259/123456/42560
ext,XXX TRANS 2,http://sv1.maincasa.cf:80/3198542259/123456/42561
ext,xxx- VENUS#,http://sv1.maincasa.cf:80/3198542259/123456/42562
ext,xxx-Jasmin.TV,http://sv1.maincasa.cf:80/3198542259/123456/42563
ext,xxx-PLAYBOY TV#,http://sv1.maincasa.cf:80/3198542259/123456/42564
ext,xxx-SEXTREME#,http://sv1.maincasa.cf:80/3198542259/123456/42565
ext,xxx-SEXY#,http://sv1.maincasa.cf:80/3198542259/123456/42566
ext,xxx-SEXY HOT,http://sv1.maincasa.cf:80/3198542259/123456/42567
Brazzers.ero,XXX: BRAZZERS,http://sv1.maincasa.cf:80/3198542259/123456/42568
ext,xxx-REDISEX,http://sv1.maincasa.cf:80/3198542259/123456/42569
ext,XXX - MOFOS,http://sv1.maincasa.cf:80/3198542259/123456/42570
ext,XXX: TINY,http://sv1.maincasa.cf:80/3198542259/123456/42571
ext,XXX: HOTCLUB 1,http://sv1.maincasa.cf:80/3198542259/123456/42572
ext,XXX: HOTCLUB 2,http://sv1.maincasa.cf:80/3198542259/123456/42573
Dorcel.ero,XXX: DORCEL TV HD,http://sv1.maincasa.cf:80/3198542259/123456/42574
HustlerTV.us,XXX: HUSTLER TV,http://sv1.maincasa.cf:80/3198542259/123456/42575
ext,xxx-Fist Anal Quest,http://sv1.maincasa.cf:80/3198542259/123456/42576

group,FILMES E SERIES
ext,A&E 4K,http://sv1.maincasa.cf:80/3198542259/123456/3311
ext,AMC 4K,http://sv1.maincasa.cf:80/3198542259/123456/3312
ext,CINEMAX 4K,http://sv1.maincasa.cf:80/3198542259/123456/3320
ext,FOX 4K,http://sv1.maincasa.cf:80/3198542259/123456/3339
ext,FOX PREMIUM 1 4K,http://sv1.maincasa.cf:80/3198542259/123456/3340
ext,FOX PREMIUM 2 4K,http://sv1.maincasa.cf:80/3198542259/123456/3341
ext,FX 4K,http://sv1.maincasa.cf:80/3198542259/123456/3344
ext,MEGAPIX 4K,http://sv1.maincasa.cf:80/3198542259/123456/3360
ext,PARAMOUNT CHANNEL 4K,http://sv1.maincasa.cf:80/3198542259/123456/3369
ext,CANAL SONY 4K,http://sv1.maincasa.cf:80/3198542259/123456/3380
ext,SPACE 4K,http://sv1.maincasa.cf:80/3198542259/123456/3381
ext,STUDIO UNIVERSAL 4K,http://sv1.maincasa.cf:80/3198542259/123456/3385
ext,SYFY 4K,http://sv1.maincasa.cf:80/3198542259/123456/3386
ext,TNT SERIES 4K,http://sv1.maincasa.cf:80/3198542259/123456/3394
ext,UNIVERSAL CHANNEL 4K,http://sv1.maincasa.cf:80/3198542259/123456/3395
Ae.br,A&E,http://sv1.maincasa.cf:80/3198542259/123456/3426
Ae.br,A&E HD,http://sv1.maincasa.cf:80/3198542259/123456/3427
Axn.br,AXN,http://sv1.maincasa.cf:80/3198542259/123456/3428
Amc.br,AMC,http://sv1.maincasa.cf:80/3198542259/123456/3430
Amchd.br,AMC HD,http://sv1.maincasa.cf:80/3198542259/123456/3431
ext,ARTE 1 HD,http://sv1.maincasa.cf:80/3198542259/123456/3434
Arte1.br,ARTE 1,http://sv1.maincasa.cf:80/3198542259/123456/3435
TCM.uk,TCM HD,http://sv1.maincasa.cf:80/3198542259/123456/3495
Tcm.br,TCM,http://sv1.maincasa.cf:80/3198542259/123456/3496
Tbs.br,TBS HD,http://sv1.maincasa.cf:80/3198542259/123456/3497
Tbs.br,TBS,http://sv1.maincasa.cf:80/3198542259/123456/3498
Syfy.br,SYFY HD,http://sv1.maincasa.cf:80/3198542259/123456/3499
Syfy.br,Syfy,http://sv1.maincasa.cf:80/3198542259/123456/3500
Studiounhd.br,STUDIO UNIVERSAL HD,http://sv1.maincasa.cf:80/3198542259/123456/3501
Studiouniversal.br,Studio Universal,http://sv1.maincasa.cf:80/3198542259/123456/3502
Spacehd.br,SPACE HD,http://sv1.maincasa.cf:80/3198542259/123456/3510
Space.br,Space,http://sv1.maincasa.cf:80/3198542259/123456/3511
Paramounthd.br,PARAMOUNT HD,http://sv1.maincasa.cf:80/3198542259/123456/3560
Paramounthd.br,Paramount,http://sv1.maincasa.cf:80/3198542259/123456/3561
Megapix.br,MegaPix,http://sv1.maincasa.cf:80/3198542259/123456/3583
Lifetime.br,LIFETIME HD,http://sv1.maincasa.cf:80/3198542259/123456/3592
Fxhd.br,FX HD,http://sv1.maincasa.cf:80/3198542259/123456/3636
Fx.br,FX,http://sv1.maincasa.cf:80/3198542259/123456/3637
Foxpremium2.br,FOX PREMIUM 2 HD,http://sv1.maincasa.cf:80/3198542259/123456/3643
Foxpremium1.br,FOX PREMIUM 1 HD,http://sv1.maincasa.cf:80/3198542259/123456/3644
fox-life-hd,FOX LIFE HD,http://sv1.maincasa.cf:80/3198542259/123456/3645
Foxlife.br,Fox Life,http://sv1.maincasa.cf:80/3198542259/123456/3646
Foxhd.br,FOX HD,http://sv1.maincasa.cf:80/3198542259/123456/3647
Fox.br,FOX,http://sv1.maincasa.cf:80/3198542259/123456/3648
FilmArts.br,Film & Arts,http://sv1.maincasa.cf:80/3198542259/123456/3652
E.uk,E! HD,http://sv1.maincasa.cf:80/3198542259/123456/3663
E.br,E!,http://sv1.maincasa.cf:80/3198542259/123456/3664
CineMAX.ro,CINEMAX HD,http://sv1.maincasa.cf:80/3198542259/123456/3692
Cinemax.br,Cinemax,http://sv1.maincasa.cf:80/3198542259/123456/3693
Sony.br,CANAL SONY HD,http://sv1.maincasa.cf:80/3198542259/123456/3697
Sony.br,CANAL SONY,http://sv1.maincasa.cf:80/3198542259/123456/3698
Warnerhd.br,WARNER CHANNEL HD,http://sv1.maincasa.cf:80/3198542259/123456/3707
Warnerchannel.br,Warner Channel,http://sv1.maincasa.cf:80/3198542259/123456/3708
Universalchannel.br,UNIVERSAL CHANNEL SD,http://sv1.maincasa.cf:80/3198542259/123456/3713
Universalchannelhd.br,UNIVERSAL CHANNEL HD,http://sv1.maincasa.cf:80/3198542259/123456/3714
Foxpremium1.br,FOX PREMIUM 1,http://sv1.maincasa.cf:80/3198542259/123456/3734
Foxpremium2.br,FOX PREMIUM 2,http://sv1.maincasa.cf:80/3198542259/123456/3735
ext,MAIS GLOBOSAT,http://sv1.maincasa.cf:80/3198542259/123456/3756
TNTSerie.br,TNT SERIES,http://sv1.maincasa.cf:80/3198542259/123456/3774
ext,MAIS GLOBOSAT HD,http://sv1.maincasa.cf:80/3198542259/123456/3788
TNTSerie.br,TNT SERIES HD,http://sv1.maincasa.cf:80/3198542259/123456/3802
ext,LIFETIME 4K,http://sv1.maincasa.cf:80/3198542259/123456/6182
ext,WARNER CHANNEL 4K,http://sv1.maincasa.cf:80/3198542259/123456/6407
FilmyArtsHD.cl,FILM & ARTS HD,http://sv1.maincasa.cf:80/3198542259/123456/6474
Megapix.br,MEGAPIX HD,http://sv1.maincasa.cf:80/3198542259/123456/6531
ext,AXN 4K,http://sv1.maincasa.cf:80/3198542259/123456/6748
ext,ARTE 1 4k,http://sv1.maincasa.cf:80/3198542259/123456/7079
Axnhd.br,AXN HD,http://sv1.maincasa.cf:80/3198542259/123456/7135
ext,FOX LIFE 4k,http://sv1.maincasa.cf:80/3198542259/123456/18702
Lifetime.br,LIFETIME,http://sv1.maincasa.cf:80/3198542259/123456/18834

group,DOCUMENTARIO
ext,ANIMAL PLANET 4K,http://sv1.maincasa.cf:80/3198542259/123456/3313
ext,DISCOVERY CIVILIZATION 4K,http://sv1.maincasa.cf:80/3198542259/123456/3325
ext,DISCOVERY HOME & HEALTH 4K,http://sv1.maincasa.cf:80/3198542259/123456/3326
ext,DISCOVERY SCIENCE 4K,http://sv1.maincasa.cf:80/3198542259/123456/3328
ext,DISCOVERY THEATER 4K,http://sv1.maincasa.cf:80/3198542259/123456/3329
ext,DISCOVERY TURBO 4K,http://sv1.maincasa.cf:80/3198542259/123456/3330
ext,DISCOVERY WORLD 4K,http://sv1.maincasa.cf:80/3198542259/123456/3331
ext,FOOD NETWORK 4K,http://sv1.maincasa.cf:80/3198542259/123456/3338
ext,H2 4K,http://sv1.maincasa.cf:80/3198542259/123456/3352
ext,HISTORY CHANNEL 4K,http://sv1.maincasa.cf:80/3198542259/123456/3357
ext,ID - INVESTIGACAO DISCOVERY 4k,http://sv1.maincasa.cf:80/3198542259/123456/3358
ext,NATGEO WILD 4K,http://sv1.maincasa.cf:80/3198542259/123456/3366
Natgeohd.br,National Geographic HD,http://sv1.maincasa.cf:80/3198542259/123456/3367
Animalplanet.br,Animal Planet,http://sv1.maincasa.cf:80/3198542259/123456/3432
Animalplanet.br,ANIMAL PLANET HD,http://sv1.maincasa.cf:80/3198542259/123456/3433
Historychannel.br,HISTORY CHANNEL,http://sv1.maincasa.cf:80/3198542259/123456/3480
Nationalgeographic.br,National Geographic,http://sv1.maincasa.cf:80/3198542259/123456/3571
Natgeowildhd.br,NATGEO WILD HD,http://sv1.maincasa.cf:80/3198542259/123456/3572
Natgeowildhd.br,NatGeo Wild,http://sv1.maincasa.cf:80/3198542259/123456/3573
H2.br,H2 HD,http://sv1.maincasa.cf:80/3198542259/123456/3612
Foodnetworkhd.br,FOOD NETWORK HD,http://sv1.maincasa.cf:80/3198542259/123456/3649
Foodnetworkhd.br,Food Network,http://sv1.maincasa.cf:80/3198542259/123456/3650
Discoveryworld.br,DISCOVERY WORLD HD,http://sv1.maincasa.cf:80/3198542259/123456/3672
Discturbohd.br,DISCOVERY TURBO HD,http://sv1.maincasa.cf:80/3198542259/123456/3673
Discturbohd.br,DISCOVERY TURBO SD,http://sv1.maincasa.cf:80/3198542259/123456/3674
DiscoveryScience.uk,DISCOVERY SCIENCE HD,http://sv1.maincasa.cf:80/3198542259/123456/3676
Discovery.br,DISCOVERY CHANNEL HD,http://sv1.maincasa.cf:80/3198542259/123456/3682
Discovery.br,DISCOVERY CHANNEL,http://sv1.maincasa.cf:80/3198542259/123456/3683
DiscoveryCivilization.br,DISCOVERY CIVILIZATION,http://sv1.maincasa.cf:80/3198542259/123456/3725
Homehealth.br,DISCOVERY HOME & HEALTH,http://sv1.maincasa.cf:80/3198542259/123456/3726
DiscoveryScience.br,DISCOVERY SCIENCE,http://sv1.maincasa.cf:80/3198542259/123456/3727
Hdtheater.br,DISCOVERY THEATER,http://sv1.maincasa.cf:80/3198542259/123456/3728
tlc-russia,DISCOVERY TLC,http://sv1.maincasa.cf:80/3198542259/123456/3729
Discoveryworld.br,DISCOVERY WORLD,http://sv1.maincasa.cf:80/3198542259/123456/3730
H2.br,H2,http://sv1.maincasa.cf:80/3198542259/123456/3757
ext,ID - INVESTIGACAO DISCOVERY,http://sv1.maincasa.cf:80/3198542259/123456/3761
DiscoveryHomeHealthHD.ar,DISCOVERY HOME & HEALTH HD,http://sv1.maincasa.cf:80/3198542259/123456/3781
tlc-russia,DISCOVERY TLC HD,http://sv1.maincasa.cf:80/3198542259/123456/3782
Historychannelhd.br,HISTORY CHANNEL HD,http://sv1.maincasa.cf:80/3198542259/123456/3790
ext,ID - INVESTIGACAO DISCOVERY HD,http://sv1.maincasa.cf:80/3198542259/123456/3791
ext,DISCOVERY CHANNEL 4K,http://sv1.maincasa.cf:80/3198542259/123456/6008
Fishtv.br,FISH TV,http://sv1.maincasa.cf:80/3198542259/123456/6476
ext,DISCOVERY CIVILIZATION HD,http://sv1.maincasa.cf:80/3198542259/123456/6788
Hdtheater.br,DISCOVERY THEATER HD,http://sv1.maincasa.cf:80/3198542259/123456/6800
Fishtv.br,FISH TV HD,http://sv1.maincasa.cf:80/3198542259/123456/6830
HGTV.pl,HGTV HD,http://sv1.maincasa.cf:80/3198542259/123456/18823
ext,NATGEO 4k,http://sv1.maincasa.cf:80/3198542259/123456/18864

group,NOTICIAS
ext,BAND NEWS 4K,http://sv1.maincasa.cf:80/3198542259/123456/3316
ext,GLOBO NEWS 4K,http://sv1.maincasa.cf:80/3198542259/123456/3347
ext,RECORD NEWS 4K,http://sv1.maincasa.cf:80/3198542259/123456/3377
Bandnews.br,Band News,http://sv1.maincasa.cf:80/3198542259/123456/3442
ext,BAND NEWS HD,http://sv1.maincasa.cf:80/3198542259/123456/3443
ext,RECORD NEWS HD,http://sv1.maincasa.cf:80/3198542259/123456/3526
Recordnews.br,Record News,http://sv1.maincasa.cf:80/3198542259/123456/3527
Globonewshd.br,GLOBO NEWS HD,http://sv1.maincasa.cf:80/3198542259/123456/3743
Globonews.br,Globo News,http://sv1.maincasa.cf:80/3198542259/123456/5015
ext,CNN Brasil SD,http://sv1.maincasa.cf:80/3198542259/123456/11246
ext,CNN Brasil HD,http://sv1.maincasa.cf:80/3198542259/123456/11247

group,CANAIS ABERTOS
ext,BAND SP 4K,http://sv1.maincasa.cf:80/3198542259/123456/3317
ext,SBT Nordeste 4K,http://sv1.maincasa.cf:80/3198542259/123456/3378
ext,BAND SP HD,http://sv1.maincasa.cf:80/3198542259/123456/3448
ext,SBT SP HD,http://sv1.maincasa.cf:80/3198542259/123456/3513
Sbtsp.br,SBT SP,http://sv1.maincasa.cf:80/3198542259/123456/3515
Redetv.br,Rede TV,http://sv1.maincasa.cf:80/3198542259/123456/3520
Bandsp.br,BAND SP,http://sv1.maincasa.cf:80/3198542259/123456/3723
ext,CULTURA HD,http://sv1.maincasa.cf:80/3198542259/123456/3779
Futura.br,FUTURA HD,http://sv1.maincasa.cf:80/3198542259/123456/6852
Futura.br,FUTURA,http://sv1.maincasa.cf:80/3198542259/123456/6853
ext,SBT RIO HD,http://sv1.maincasa.cf:80/3198542259/123456/16334
ext,SBT - TV Difusora (MA),http://sv1.maincasa.cf:80/3198542259/123456/17722
Redetv.br,Rede TV,http://sv1.maincasa.cf:80/3198542259/123456/17741
ext,Rede TV! Tocantins,http://sv1.maincasa.cf:80/3198542259/123456/17742
ext,Rede Brasil (SP),http://sv1.maincasa.cf:80/3198542259/123456/17749
Tvcultura.br,TV Cultura,http://sv1.maincasa.cf:80/3198542259/123456/17751
ext,Rede Século 21,http://sv1.maincasa.cf:80/3198542259/123456/17788
Tvcamara.br,TV Câmara,http://sv1.maincasa.cf:80/3198542259/123456/17806
ext,SBT MA,http://sv1.maincasa.cf:80/3198542259/123456/18016
ext,REDE MINAS,http://sv1.maincasa.cf:80/3198542259/123456/18096
ext,BAND CAMPINAS,http://sv1.maincasa.cf:80/3198542259/123456/18550
ext,REDETV 4k,http://sv1.maincasa.cf:80/3198542259/123456/18950
ext,REDETV HD,http://sv1.maincasa.cf:80/3198542259/123456/18952
ext,SBT SP 4k,http://sv1.maincasa.cf:80/3198542259/123456/18956
ext,RECORD RS HD,http://sv1.maincasa.cf:80/3198542259/123456/35050
ext,RECORD RS SD,http://sv1.maincasa.cf:80/3198542259/123456/35051

group,INFANTIS
ext,BOOMERANG 4K,http://sv1.maincasa.cf:80/3198542259/123456/3318
ext,CARTOON NETWORK 4K,http://sv1.maincasa.cf:80/3198542259/123456/3319
ext,DISCOVERY KIDS 4K,http://sv1.maincasa.cf:80/3198542259/123456/3327
ext,NICK JR 4K,http://sv1.maincasa.cf:80/3198542259/123456/3368
Boomerang.br,Boomerang,http://sv1.maincasa.cf:80/3198542259/123456/3436
Boomeranghd.br,BOOMERANG HD,http://sv1.maincasa.cf:80/3198542259/123456/3437
BabyTV.br,BABY TV,http://sv1.maincasa.cf:80/3198542259/123456/3441
Tooncast.br,Tooncast,http://sv1.maincasa.cf:80/3198542259/123456/3473
Nickelodeonhd.br,NICKELODEON HD,http://sv1.maincasa.cf:80/3198542259/123456/3564
Nickelodeon.br,Nickelodeon,http://sv1.maincasa.cf:80/3198542259/123456/3565
Nickjrhd.br,NICK JR HD,http://sv1.maincasa.cf:80/3198542259/123456/3566
NickJr.br,Nick Jr,http://sv1.maincasa.cf:80/3198542259/123456/3567
ext,NATGEO KIDS HD,http://sv1.maincasa.cf:80/3198542259/123456/3574
ext,NatGeo Kids,http://sv1.maincasa.cf:80/3198542259/123456/3575
Gloobhd.br,GLOOB HD,http://sv1.maincasa.cf:80/3198542259/123456/3616
Gloob.br,Gloob,http://sv1.maincasa.cf:80/3198542259/123456/3617
DisneyXD.uk,DISNEY XD HD,http://sv1.maincasa.cf:80/3198542259/123456/3666
Disneyxd.br,Disney XD,http://sv1.maincasa.cf:80/3198542259/123456/3667
Disneyjrhd.br,DISNEY JR HD,http://sv1.maincasa.cf:80/3198542259/123456/3669
Disneychannelhd.br,DISNEY CHANNEL HD,http://sv1.maincasa.cf:80/3198542259/123456/3670
Discoverykidshd.br,DISCOVERY KIDS HD,http://sv1.maincasa.cf:80/3198542259/123456/3677
Discoverykids.br,DISCOVERY KIDS,http://sv1.maincasa.cf:80/3198542259/123456/3678
Cartoonnetworkhd.br,CARTOON NETWORK HD,http://sv1.maincasa.cf:80/3198542259/123456/3694
Cartoonnetwork.br,CARTOON NETWORK,http://sv1.maincasa.cf:80/3198542259/123456/3695
Disneychannel.br,DISNEY CHANNEL,http://sv1.maincasa.cf:80/3198542259/123456/3731
Disneyjrhd.br,DISNEY JR,http://sv1.maincasa.cf:80/3198542259/123456/3732
ext,Zoomoo HD,http://sv1.maincasa.cf:80/3198542259/123456/4969
Zoomoo.br,Zoomoo SD,http://sv1.maincasa.cf:80/3198542259/123456/4970
ext,DISNEY XD 4K,http://sv1.maincasa.cf:80/3198542259/123456/6048
ext,NATGEO KIDS 4K,http://sv1.maincasa.cf:80/3198542259/123456/6216
Tooncast.ar,Tooncast HD,http://sv1.maincasa.cf:80/3198542259/123456/6389
BabyTV.fr,BABY TV HD,http://sv1.maincasa.cf:80/3198542259/123456/6751
ext,DISNEY CHANNEL 4K,http://sv1.maincasa.cf:80/3198542259/123456/6810
ext,DISNEY JR 4K,http://sv1.maincasa.cf:80/3198542259/123456/6814
ext,GLOOB 4K,http://sv1.maincasa.cf:80/3198542259/123456/6892
ext,NICKELODEON 4k,http://sv1.maincasa.cf:80/3198542259/123456/18886
Tvratimbum.br,TV RA TIM BUM HD,http://sv1.maincasa.cf:80/3198542259/123456/19038
ext,GLOOBINHO HD,http://sv1.maincasa.cf:80/3198542259/123456/26963
ext,CANAL CASA PLAY,http://sv1.maincasa.cf:80/3198542259/123456/26967

group,ESPORTE
ext,COMBATE 4K,http://sv1.maincasa.cf:80/3198542259/123456/3321
ext,FOX SPORTS 2 4K,http://sv1.maincasa.cf:80/3198542259/123456/3342
ext,SPORTV 2 4K,http://sv1.maincasa.cf:80/3198542259/123456/3382
ext,SPORTV 3 4K,http://sv1.maincasa.cf:80/3198542259/123456/3383
Bandsports.br,BAND SPORTS,http://sv1.maincasa.cf:80/3198542259/123456/3444
Bandsports.br,BAND SPORTS HD,http://sv1.maincasa.cf:80/3198542259/123456/3445
Sportv3hd.br,SPORTV 3 HD,http://sv1.maincasa.cf:80/3198542259/123456/3505
Sportv3.br,SporTV 3,http://sv1.maincasa.cf:80/3198542259/123456/3506
Sportv2hd.br,SPORTV 2 HD,http://sv1.maincasa.cf:80/3198542259/123456/3507
Sportv2.br,SporTV 2,http://sv1.maincasa.cf:80/3198542259/123456/3508
Foxsports2hd.br,FOX SPORTS 2 HD,http://sv1.maincasa.cf:80/3198542259/123456/3640
Foxsports2.br,Fox Sports 2,http://sv1.maincasa.cf:80/3198542259/123456/3641
Espnhd.br,ESPN HD,http://sv1.maincasa.cf:80/3198542259/123456/3654
Espn.br,ESPN,http://sv1.maincasa.cf:80/3198542259/123456/3659
Combate.br,COMBATE HD,http://sv1.maincasa.cf:80/3198542259/123456/3687
Combate.br,COMBATE,http://sv1.maincasa.cf:80/3198542259/123456/3688
Espnextra.br,ESPN EXTRA HD,http://sv1.maincasa.cf:80/3198542259/123456/6067
DAZN1BarHD.de,DAZN,http://sv1.maincasa.cf:80/3198542259/123456/8484
Espnextra.br,ESPN EXTRA,http://sv1.maincasa.cf:80/3198542259/123456/18683
ext,ESPNBRASIL 4K¹,http://sv1.maincasa.cf:80/3198542259/123456/27251
Espnbrasilhd.br,ESPN BRASIL HD,http://sv1.maincasa.cf:80/3198542259/123456/27260
Sportv.br,SporTV,http://sv1.maincasa.cf:80/3198542259/123456/27922
ext,SPORTV 4K,http://sv1.maincasa.cf:80/3198542259/123456/46536
ESPN2.mx,ESPN 2,http://sv1.maincasa.cf:80/3198542259/123456/46701
Sportv.br,SPORTV HD,http://sv1.maincasa.cf:80/3198542259/123456/46723
ext,Fox Sports¹,http://sv1.maincasa.cf:80/3198542259/123456/46725
ext,ESPN Brasil¹,http://sv1.maincasa.cf:80/3198542259/123456/46726
ext,ESPN¹4K¹,http://sv1.maincasa.cf:80/3198542259/123456/46730
ext,ESPN2²4K,http://sv1.maincasa.cf:80/3198542259/123456/46731
ext,ESPN2²HD,http://sv1.maincasa.cf:80/3198542259/123456/46732
ext,FOX SPORTS¹ HD,http://sv1.maincasa.cf:80/3198542259/123456/46921
ext,FOX SPORTS¹4k,http://sv1.maincasa.cf:80/3198542259/123456/46943
ext,Fox Sports 4k²,http://sv1.maincasa.cf:80/3198542259/123456/46954
ext,Fox Sports HD²,http://sv1.maincasa.cf:80/3198542259/123456/46955
ext,Fox Sports SD²,http://sv1.maincasa.cf:80/3198542259/123456/46956
ext,Red Bull TV OPÇÃO 1,http://sv1.maincasa.cf:80/3198542259/123456/47594
ext,Red Bull TV OPÇÃO 2,http://sv1.maincasa.cf:80/3198542259/123456/47595

group,MUSICAS E VARIEDADE
ext,COMEDY CENTRAL 4K,http://sv1.maincasa.cf:80/3198542259/123456/3322
ext,MULTISHOW 4K,http://sv1.maincasa.cf:80/3198542259/123456/3363
ext,VIVA 4K,http://sv1.maincasa.cf:80/3198542259/123456/3396
Bis.br,BIS,http://sv1.maincasa.cf:80/3198542259/123456/3438
Bishd.br,BIS HD,http://sv1.maincasa.cf:80/3198542259/123456/3439
Off.br,OFF HD,http://sv1.maincasa.cf:80/3198542259/123456/3562
Off.br,OFF,http://sv1.maincasa.cf:80/3198542259/123456/3563
Multishow.br,MULTISHOW HD,http://sv1.maincasa.cf:80/3198542259/123456/3578
Multishow.br,Multishow,http://sv1.maincasa.cf:80/3198542259/123456/3579
Gnthd.br,GNT HD,http://sv1.maincasa.cf:80/3198542259/123456/3613
Gnt.br,GNT,http://sv1.maincasa.cf:80/3198542259/123456/3614
ComedyCentral.uk,COMEDY CENTRAL HD,http://sv1.maincasa.cf:80/3198542259/123456/3685
Comedycentral.br,COMEDY CENTRAL,http://sv1.maincasa.cf:80/3198542259/123456/3686
Viva.br,VIVA HD,http://sv1.maincasa.cf:80/3198542259/123456/3709
Viva.br,Viva,http://sv1.maincasa.cf:80/3198542259/123456/3710
VH1.br,VH1 HD,http://sv1.maincasa.cf:80/3198542259/123456/3712
VH1.br,VH1,http://sv1.maincasa.cf:80/3198542259/123456/3777
Mtvhd.br,MTV HD,http://sv1.maincasa.cf:80/3198542259/123456/3793
Mtv.br,MTV,http://sv1.maincasa.cf:80/3198542259/123456/5085
ext,MTV 4K,http://sv1.maincasa.cf:80/3198542259/123456/6206
Playtv.br,PLAYTV,http://sv1.maincasa.cf:80/3198542259/123456/6248
ext,CURTA HD,http://sv1.maincasa.cf:80/3198542259/123456/6452
ext,CURTA,http://sv1.maincasa.cf:80/3198542259/123456/6453
Trutv.br,TRUTV,http://sv1.maincasa.cf:80/3198542259/123456/6623
ext,WOOHOO HD,http://sv1.maincasa.cf:80/3198542259/123456/6640
Woohoo.br,WOOHOO,http://sv1.maincasa.cf:80/3198542259/123456/6641
MTVLiveHD.eu,MTV LIVE HD,http://sv1.maincasa.cf:80/3198542259/123456/6934
ext,MUSIC BOX BRAZIL,http://sv1.maincasa.cf:80/3198542259/123456/18861
Canalbrasilhd.br,CANAL BRASIL FHD,http://sv1.maincasa.cf:80/3198542259/123456/26961
Canalbrasilhd.br,CANAL BRASIL HD,http://sv1.maincasa.cf:80/3198542259/123456/26962

group,GLOBO
ext,GLOBO RJ 4K,http://sv1.maincasa.cf:80/3198542259/123456/3349
ext,GLOBO SP 4K,http://sv1.maincasa.cf:80/3198542259/123456/3350
ext,GLOBO RBS PORTO ALEGRE,http://sv1.maincasa.cf:80/3198542259/123456/3744
ext,GLOBO TV TEM SOROCABA,http://sv1.maincasa.cf:80/3198542259/123456/3751
